ts	sIP	tcp_sPort	udp_sPort	dIP	tcp_dPort	udp_dPort	ip_len	ip_hdr_len	ip_proto	tcp_flags	tcp_seq	tcp_ack	tls_hostname	dns_hostname	dns_ip	rtp_seq	rtp_payload_type	rtp_ts	rtp_marker	rtp_ext_flag	rtp_ext_len	rtp_padding_len
1652830550.534063072	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0018	2844625892	2026337402										
1652830550.534147034	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0010	2844627310	2026337402										
1652830550.534265698	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0018	2844628728	2026337402										
1652830550.534296272	142.250.72.173	443		192.168.1.236	55064		226	20	6	0x0018	2844630146	2026337402										
1652830550.535670024	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0018	2844630320	2026337402										
1652830550.535746115	142.250.72.173	443		192.168.1.236	55064		1182	20	6	0x0018	2844631738	2026337402										
1652830550.537379585	192.168.1.236	55064		142.250.72.173	443		52	20	6	0x0010	2026337402	2844632868										
1652830550.546505545	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0018	2844632868	2026337402										
1652830550.546576951	192.168.1.236	55064		142.250.72.173	443		52	20	6	0x0010	2026337402	2844634286										
1652830550.546632376	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0010	2844634286	2026337402										
1652830550.546717856	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0018	2844635704	2026337402										
1652830550.546755559	142.250.72.173	443		192.168.1.236	55064		219	20	6	0x0018	2844637122	2026337402										
1652830550.549864594	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0018	2844637289	2026337402										
1652830550.549971184	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0010	2844638707	2026337402										
1652830550.550079978	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0018	2844640125	2026337402										
1652830550.550199365	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0010	2844641543	2026337402										
1652830550.550319363	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0010	2844642961	2026337402										
