ts	sIP	tcp_sPort	udp_sPort	dIP	tcp_dPort	udp_dPort	ip_len	ip_proto	tcp_flags	tcp_seq	tcp_ack	tls_hostname	dns_hostname	dns_ip
1651792553.969077000	192.168.1.138	59118		142.250.72.227	443		91	6	0x0018	2966059593	2265324697			
1651792553.972156000	192.168.1.138		60769	142.250.72.227		443	1385	17						
1651792553.974560000	142.250.72.227		443	192.168.1.138		60769	1385	17						
1651792553.974564000	142.250.72.227		443	192.168.1.138		60769	1385	17						
1651792553.975362000	142.250.72.227		443	192.168.1.138		60769	1385	17						
1651792553.975367000	142.250.72.227		443	192.168.1.138		60769	554	17						
1651792553.975841000	192.168.1.138		60769	142.250.72.227		443	70	17						
1651792553.977056000	142.250.72.227	443		192.168.1.138	59118		52	6	0x0010	2265324697	2966059632			
1651792553.983975000	192.168.1.138		60769	142.250.72.227		443	71	17						
1651792553.984861000	192.168.1.138	59118		142.250.72.227	443		150	6	0x0018	2966059632	2265324697			
1651792553.987627000	142.250.72.227	443		192.168.1.138	59118		52	6	0x0010	2265324697	2966059730			
1651792553.988001000	142.250.72.227	443		192.168.1.138	59118		183	6	0x0018	2265324697	2966059730			
1651792553.988052000	192.168.1.138	59118		142.250.72.227	443		52	6	0x0010	2966059730	2265324828			
1651792553.988089000	142.250.72.227	443		192.168.1.138	59118		1470	6	0x0018	2265324828	2966059730			
1651792553.988101000	192.168.1.138	59118		142.250.72.227	443		52	6	0x0010	2966059730	2265326246			
1651792553.988129000	142.250.72.227	443		192.168.1.138	59118		1470	6	0x0010	2265326246	2966059730			
1651792553.988138000	192.168.1.138	59118		142.250.72.227	443		52	6	0x0010	2966059730	2265327664			
1651792553.988159000	142.250.72.227	443		192.168.1.138	59118		1470	6	0x0018	2265327664	2966059730			
1651792553.988166000	192.168.1.138	59118		142.250.72.227	443		52	6	0x0010	2966059730	2265329082			
1651792553.988309000	142.250.72.227	443		192.168.1.138	59118		1470	6	0x0010	2265329082	2966059730			
1651792553.988337000	192.168.1.138	59118		142.250.72.227	443		52	6	0x0010	2966059730	2265330500			
1651792553.988388000	142.250.72.227	443		192.168.1.138	59118		5724	6	0x0018	2265330500	2966059730			
1651792553.988697000	142.250.72.227	443		192.168.1.138	59118		1470	6	0x0010	2265336172	2966059730			
1651792553.988761000	142.250.72.227	443		192.168.1.138	59118		3391	6	0x0018	2265337590	2966059730			
1651792553.988824000	142.250.72.227	443		192.168.1.138	59118		91	6	0x0018	2265340929	2966059730			
1651792553.991885000	192.168.1.138	59118		142.250.72.227	443		52	6	0x0010	2966059730	2265340968			
1651792553.997518000	192.168.1.138	59118		142.250.72.227	443		91	6	0x0018	2966059730	2265340968			
1651792553.998687000	192.168.1.138		60769	142.250.72.227		443	68	17						
1651792553.998895000	192.168.1.138		60769	142.250.72.227		443	68	17						
1651792554.001823000	142.250.72.227		443	192.168.1.138		60769	72	17						
1651792554.006089000	142.250.72.227	443		192.168.1.138	59118		52	6	0x0010	2265340968	2966059769			
1651792554.006860000	192.168.1.138		60769	142.250.72.227		443	136	17						
1651792554.006981000	192.168.1.138		60769	142.250.72.227		443	98	17						
1651792554.007275000	192.168.1.138	59118		142.250.72.227	443		91	6	0x0018	2966059769	2265340968			
1651792554.008664000	192.168.1.138	59118		142.250.72.227	443		76	6	0x0018	2966059808	2265340968			
1651792554.008721000	192.168.1.138	59118		142.250.72.227	443		52	6	0x0011	2966059832	2265340968			
1651792554.010017000	142.250.72.227	443		192.168.1.138	59118		52	6	0x0010	2265340968	2966059808			
1651792554.010258000	142.250.72.227		443	192.168.1.138		60769	637	17						
1651792554.010260000	142.250.72.227		443	192.168.1.138		60769	124	17						
1651792554.011435000	142.250.72.227	443		192.168.1.138	59118		52	6	0x0010	2265340968	2966059832			
1651792554.011537000	142.250.72.227	443		192.168.1.138	59118		52	6	0x0010	2265340969	2966059833			
1651792554.011538000	142.250.72.227	443		192.168.1.138	59118		52	6	0x0011	2265340968	2966059832			
1651792554.012864000	192.168.1.138		60769	142.250.72.227		443	61	17						
1651792554.035231000	142.250.72.227		443	192.168.1.138		60769	56	17						
1651792554.057410000	192.168.1.138			195.89.146.193			84	1						
1651792554.191477000	192.168.1.138		50222	198.189.66.16		443	935	17						
1651792554.196643000	198.189.66.16		443	192.168.1.138		50222	59	17						
1651792554.197669000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197672000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197783000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197783000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197783000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197783000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197783000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197783000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197783000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197839000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197840000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197840000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197840000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197840000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197840000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197870000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.197871000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.199280000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.199283000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.199385000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.199385000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.199385000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.199385000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.199385000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.199385000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.199385000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.199429000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.199429000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.199429000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.200628000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.200631000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.200721000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.200721000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.200722000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.200722000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.200722000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.200722000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.200722000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.200768000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.200769000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.200769000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203441000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203445000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203553000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203553000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203553000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203553000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203553000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203554000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203554000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203586000	192.168.1.138		50222	198.189.66.16		443	67	17						
1651792554.203629000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203629000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203629000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203629000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203629000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203630000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203630000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203692000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203693000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203693000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.203693000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.205537000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.205541000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.205635000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.205636000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.205636000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.205636000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.205636000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.205636000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.205636000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.205717000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.205717000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.205718000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207695000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207699000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207788000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207789000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207789000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207789000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207789000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207789000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207789000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207857000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207858000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207858000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207858000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207858000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207893000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.207893000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.208784000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.208826000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.208826000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.208826000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.208858000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.208858000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.208858000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.208877000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.210926000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.210989000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.210989000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.210989000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.210989000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.210989000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.211025000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.211025000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.211025000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.211056000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.211056000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.211056000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.211083000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.211083000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.211105000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.211105000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.212872000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.212914000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.212914000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.212914000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.212962000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.212962000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.212962000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.213004000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.213004000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.213005000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.213005000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.213036000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.213036000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.213036000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.213060000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.213061000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.214344000	195.89.146.193			192.168.1.138			84	1						
1651792554.215065000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215067000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215186000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215187000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215187000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215187000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215187000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215187000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215187000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215279000	192.168.1.138		50222	198.189.66.16		443	61	17						
1651792554.215409000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215410000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215410000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215410000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215410000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215410000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.215410000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.217244000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.217247000	198.189.66.16		443	192.168.1.138		50222	1385	17						
1651792554.217295000	198.189.66.16		443	192.168.1.138		50222	379	17						
1651792554.219266000	192.168.1.138		50222	198.189.66.16		443	61	17						
1651792554.220643000	142.250.72.227	443		192.168.1.138	59118		52	6	0x0011	2265340968	2966059833			
1651792554.220740000	192.168.1.138	59118		142.250.72.227	443		52	6	0x0010	2966059833	2265340969			
1651792554.307717000	192.168.1.138			195.89.146.193			84	1						
1651792554.309409000	192.168.1.138		41406	192.168.1.1		53	91	17					<Root>	
1651792554.310198000	192.168.1.138		44912	192.168.1.1		53	91	17					<Root>	
1651792554.310982000	192.168.1.138		41630	142.250.176.22		443	293	17						
1651792554.311501000	192.168.1.1		53	192.168.1.138		41406	107	17					photos-ugc.l.googleusercontent.com,<Root>	142.251.40.33
1651792554.311926000	192.168.1.1		53	192.168.1.138		44912	119	17					photos-ugc.l.googleusercontent.com,<Root>	
1651792554.313517000	192.168.1.138	47370		142.251.40.33	443		60	6	0x0002	667694724	0			
1651792554.314265000	142.250.176.22		443	192.168.1.138		41630	58	17						
1651792554.315105000	142.250.176.22		443	192.168.1.138		41630	1381	17						
1651792554.315182000	142.250.176.22		443	192.168.1.138		41630	1385	17						
1651792554.315182000	142.250.176.22		443	192.168.1.138		41630	1385	17						
1651792554.315182000	142.250.176.22		443	192.168.1.138		41630	1385	17						
1651792554.315182000	142.250.176.22		443	192.168.1.138		41630	1385	17						
1651792554.315183000	142.250.176.22		443	192.168.1.138		41630	1291	17						
1651792554.316706000	142.251.40.33	443		192.168.1.138	47370		60	6	0x0012	4090061974	667694725			
1651792554.316802000	192.168.1.138	47370		142.251.40.33	443		52	6	0x0010	667694725	4090061975			
1651792554.316971000	192.168.1.138		41630	142.250.176.22		443	67	17						
1651792554.323295000	192.168.1.138	47370		142.251.40.33	443		569	6	0x0018	667694725	4090061975	yt3.ggpht.com		
1651792554.327059000	142.251.40.33	443		192.168.1.138	47370		52	6	0x0010	4090061975	667695242			
1651792554.334343000	142.251.40.33	443		192.168.1.138	47370		1470	6	0x0010	4090061975	667695242			
1651792554.334399000	192.168.1.138	47370		142.251.40.33	443		52	6	0x0010	667695242	4090063393			
1651792554.334497000	142.251.40.33	443		192.168.1.138	47370		5724	6	0x0018	4090063393	667695242			
1651792554.334497000	142.251.40.33	443		192.168.1.138	47370		455	6	0x0018	4090069065	667695242			
1651792554.334520000	192.168.1.138	47370		142.251.40.33	443		52	6	0x0010	667695242	4090069065			
1651792554.334530000	192.168.1.138	47370		142.251.40.33	443		52	6	0x0010	667695242	4090069468			
1651792554.345062000	142.250.176.22		443	192.168.1.138		41630	56	17						
1651792554.363062000	192.168.1.138	54356		142.250.217.131	80		478	6	0x0018	3056696815	2777956305			
1651792554.367314000	142.250.217.131	80		192.168.1.138	54356		52	6	0x0010	2777956305	3056697241			
1651792554.409475000	142.250.217.131	80		192.168.1.138	54356		754	6	0x0018	2777956305	3056697241			
1651792554.409531000	192.168.1.138	54356		142.250.217.131	80		52	6	0x0010	3056697241	2777957007			
1651792554.413474000	192.168.1.138	47370		142.251.40.33	443		116	6	0x0018	667695242	4090069468			
1651792554.414880000	192.168.1.138	47370		142.251.40.33	443		222	6	0x0018	667695306	4090069468			
1651792554.414973000	192.168.1.138	47370		142.251.40.33	443		373	6	0x0018	667695476	4090069468			
1651792554.416611000	142.251.40.33	443		192.168.1.138	47370		660	6	0x0018	4090069468	667695306			
1651792554.416679000	192.168.1.138	47370		142.251.40.33	443		52	6	0x0010	667695797	4090070076			
1651792554.417717000	142.251.40.33	443		192.168.1.138	47370		52	6	0x0010	4090070076	667695797			
1651792554.418087000	142.251.40.33	443		192.168.1.138	47370		83	6	0x0018	4090070076	667695797			
1651792554.418125000	192.168.1.138	47370		142.251.40.33	443		52	6	0x0010	667695797	4090070107			
1651792554.418778000	192.168.1.138	47370		142.251.40.33	443		83	6	0x0018	667695797	4090070107			
1651792554.418814000	142.251.40.33	443		192.168.1.138	47370		460	6	0x0018	4090070107	667695797			
1651792554.418836000	192.168.1.138	47370		142.251.40.33	443		52	6	0x0010	667695828	4090070515			
1651792554.418883000	142.251.40.33	443		192.168.1.138	47370		1470	6	0x0018	4090070515	667695797			
1651792554.418883000	142.251.40.33	443		192.168.1.138	47370		91	6	0x0018	4090072546	667695797			
1651792554.418883000	142.251.40.33	443		192.168.1.138	47370		665	6	0x0018	4090071933	667695797			
1651792554.418898000	192.168.1.138	47370		142.251.40.33	443		52	6	0x0010	667695828	4090071933			
1651792554.418919000	192.168.1.138	47370		142.251.40.33	443		64	6	0x0010	667695828	4090071933			
1651792554.418933000	192.168.1.138	47370		142.251.40.33	443		52	6	0x0010	667695828	4090072585			
1651792554.420019000	192.168.1.138	47370		142.251.40.33	443		91	6	0x0018	667695828	4090072585			
1651792554.423029000	142.251.40.33	443		192.168.1.138	47370		52	6	0x0010	4090072585	667695867			
1651792554.424328000	192.168.1.138		55075	142.251.40.33		443	1385	17				yt3.ggpht.com		
1651792554.428312000	142.251.40.33		443	192.168.1.138		55075	1385	17						
1651792554.430207000	192.168.1.138		55075	142.251.40.33		443	1385	17						
1651792554.433735000	142.251.40.33		443	192.168.1.138		55075	1385	17						
1651792554.433738000	142.251.40.33		443	192.168.1.138		55075	1385	17						
1651792554.433870000	142.251.40.33		443	192.168.1.138		55075	1385	17						
1651792554.433900000	142.251.40.33		443	192.168.1.138		55075	1385	17						
1651792554.433901000	142.251.40.33		443	192.168.1.138		55075	1385	17						
1651792554.435033000	192.168.1.138		55075	142.251.40.33		443	70	17						
1651792554.438234000	142.251.40.33		443	192.168.1.138		55075	1077	17						
1651792554.443852000	192.168.1.138		55075	142.251.40.33		443	71	17						
1651792554.453934000	192.168.1.138		55075	142.251.40.33		443	68	17						
1651792554.454065000	192.168.1.138		55075	142.251.40.33		443	68	17						
1651792554.457161000	142.251.40.33		443	192.168.1.138		55075	72	17						
1651792554.457457000	192.168.1.138		55075	142.251.40.33		443	136	17						
1651792554.457565000	192.168.1.138		55075	142.251.40.33		443	97	17						
1651792554.457794000	192.168.1.138	47370		142.251.40.33	443		91	6	0x0018	667695867	4090072585			
1651792554.459345000	192.168.1.138	47370		142.251.40.33	443		76	6	0x0018	667695906	4090072585			
1651792554.459402000	192.168.1.138	47370		142.251.40.33	443		52	6	0x0011	667695930	4090072585			
1651792554.461141000	142.251.40.33		443	192.168.1.138		55075	637	17						
1651792554.461144000	142.251.40.33		443	192.168.1.138		55075	124	17						
1651792554.462339000	142.251.40.33	443		192.168.1.138	47370		52	6	0x0010	4090072585	667695930			
1651792554.462343000	142.251.40.33	443		192.168.1.138	47370		52	6	0x0010	4090072586	667695931			
1651792554.462447000	142.251.40.33	443		192.168.1.138	47370		52	6	0x0011	4090072585	667695930			
1651792554.462497000	192.168.1.138	47370		142.251.40.33	443		52	6	0x0010	667695931	4090072586			
1651792554.463584000	192.168.1.138		55075	142.251.40.33		443	61	17						
1651792554.466113000	195.89.146.193			192.168.1.138			84	1						
1651792554.485679000	142.251.40.33		443	192.168.1.138		55075	56	17						
1651792554.558481000	192.168.1.138			195.89.146.193			84	1						
1651792554.638227000	192.168.1.138	54358		142.250.217.131	80		52	6	0x0010	1924286604	489347510			
1651792554.641252000	142.250.217.131	80		192.168.1.138	54358		52	6	0x0010	489347510	1924286605			
1651792554.663491000	192.168.1.138	37670		142.250.217.132	443		60	6	0x0002	1612661681	0			
1651792554.666651000	142.250.217.132	443		192.168.1.138	37670		60	6	0x0012	2946223797	1612661682			
1651792554.666750000	192.168.1.138	37670		142.250.217.132	443		52	6	0x0010	1612661682	2946223798			
1651792554.670111000	192.168.1.138	54336		142.250.217.131	80		52	6	0x0010	206248439	3436086622			
1651792554.670121000	192.168.1.138	41404		198.189.66.17	443		52	6	0x0010	985788443	519753313			
1651792554.670133000	192.168.1.138	41402		198.189.66.17	443		52	6	0x0010	2551578354	2296371154			
1651792554.672979000	192.168.1.138	37670		142.250.217.132	443		569	6	0x0018	1612661682	2946223798	www.google.com		
1651792554.673177000	142.250.217.131	80		192.168.1.138	54336		52	6	0x0010	3436086622	206248440			
1651792554.675078000	198.189.66.17	443		192.168.1.138	41402		52	6	0x0010	2296371154	2551578355			
1651792554.675080000	198.189.66.17	443		192.168.1.138	41404		52	6	0x0010	519753313	985788444			
1651792554.676620000	142.250.217.132	443		192.168.1.138	37670		52	6	0x0010	2946223798	1612662199			
1651792554.686973000	142.250.217.132	443		192.168.1.138	37670		2888	6	0x0010	2946223798	1612662199			
1651792554.687076000	192.168.1.138	37670		142.250.217.132	443		52	6	0x0010	1612662199	2946226634			
1651792554.687169000	142.250.217.132	443		192.168.1.138	37670		1503	6	0x0018	2946226634	1612662199			
1651792554.687188000	192.168.1.138	37670		142.250.217.132	443		52	6	0x0010	1612662199	2946228085			
1651792554.704210000	192.168.1.138		36343	192.168.1.1		53	77	17					<Root>	
1651792554.704462000	192.168.1.1		53	192.168.1.138		36343	93	17					fonts.googleapis.com,<Root>	142.250.72.170
1651792554.704747000	192.168.1.138		49103	192.168.1.1		53	77	17					<Root>	
1651792554.704979000	192.168.1.1		53	192.168.1.138		49103	105	17					fonts.googleapis.com,<Root>	
1651792554.706209000	192.168.1.138		41465	142.250.176.14		443	1385	17						
1651792554.706492000	192.168.1.138		41465	142.250.176.14		443	1019	17						
1651792554.709901000	142.250.176.14		443	192.168.1.138		41465	59	17						
1651792554.712351000	192.168.1.138		52388	142.250.72.170		443	332	17						
1651792554.715008000	192.168.1.138		52388	142.250.72.170		443	222	17						
1651792554.715917000	142.250.72.170		443	192.168.1.138		52388	58	17						
1651792554.716046000	195.89.146.193			192.168.1.138			84	1						
1651792554.718373000	142.250.72.170		443	192.168.1.138		52388	58	17						
1651792554.722326000	192.168.1.138		52388	142.250.72.170		443	59	17						
1651792554.725413000	192.168.1.138	54356		142.250.217.131	80		477	6	0x0018	3056697241	2777957007			
1651792554.729473000	142.250.217.131	80		192.168.1.138	54356		52	6	0x0010	2777957007	3056697666			
1651792554.732676000	192.168.1.138		41465	142.250.176.14		443	62	17						
1651792554.742444000	142.250.72.170		443	192.168.1.138		52388	1115	17						
1651792554.742447000	142.250.72.170		443	192.168.1.138		52388	65	17						
1651792554.742536000	142.250.72.170		443	192.168.1.138		52388	103	17						
1651792554.744541000	192.168.1.138		52388	142.250.72.170		443	65	17						
1651792554.745484000	142.250.72.170		443	192.168.1.138		52388	590	17						
1651792554.746119000	142.250.72.170		443	192.168.1.138		52388	65	17						
1651792554.746177000	142.250.72.170		443	192.168.1.138		52388	298	17						
1651792554.747299000	142.250.176.14		443	192.168.1.138		41465	1380	17						
1651792554.747302000	142.250.176.14		443	192.168.1.138		41465	1385	17						
1651792554.747390000	142.250.176.14		443	192.168.1.138		41465	1385	17						
1651792554.747390000	142.250.176.14		443	192.168.1.138		41465	1385	17						
1651792554.747390000	142.250.176.14		443	192.168.1.138		41465	1385	17						
1651792554.747390000	142.250.176.14		443	192.168.1.138		41465	1385	17						
1651792554.747391000	142.250.176.14		443	192.168.1.138		41465	1385	17						
1651792554.747391000	142.250.176.14		443	192.168.1.138		41465	1385	17						
1651792554.747391000	142.250.176.14		443	192.168.1.138		41465	1385	17						
1651792554.747440000	142.250.176.14		443	192.168.1.138		41465	1385	17						
1651792554.747441000	142.250.176.14		443	192.168.1.138		41465	408	17						
1651792554.747441000	142.250.176.14		443	192.168.1.138		41465	196	17						
1651792554.748148000	192.168.1.138		52388	142.250.72.170		443	65	17						
1651792554.751298000	142.250.72.170		443	192.168.1.138		52388	56	17						
1651792554.751778000	192.168.1.138		41465	142.250.176.14		443	67	17						
1651792554.772164000	142.250.217.131	80		192.168.1.138	54356		753	6	0x0018	2777957007	3056697666			
1651792554.772259000	192.168.1.138	54356		142.250.217.131	80		52	6	0x0010	3056697666	2777957708			
1651792554.779935000	142.250.176.14		443	192.168.1.138		41465	57	17						
1651792554.794462000	192.168.1.138	37670		142.250.217.132	443		116	6	0x0018	1612662199	2946228085			
1651792554.797830000	192.168.1.138	37670		142.250.217.132	443		222	6	0x0018	1612662263	2946228085			
1651792554.798148000	192.168.1.138	37670		142.250.217.132	443		475	6	0x0018	1612662433	2946228085			
1651792554.800792000	142.250.217.132	443		192.168.1.138	37670		52	6	0x0010	2946228085	1612662433			
1651792554.800862000	142.250.217.132	443		192.168.1.138	37670		660	6	0x0018	2946228085	1612662433			
1651792554.800894000	192.168.1.138	37670		142.250.217.132	443		52	6	0x0010	1612662856	2946228693			
1651792554.801926000	142.250.217.132	443		192.168.1.138	37670		83	6	0x0018	2946228693	1612662856			
1651792554.802167000	192.168.1.138	37670		142.250.217.132	443		52	6	0x0010	1612662856	2946228724			
1651792554.809667000	192.168.1.138			195.89.146.193			84	1						
1651792554.810100000	192.168.1.138	37670		142.250.217.132	443		83	6	0x0018	1612662856	2946228724			
