ts	sIP	tcp_sPort	udp_sPort	dIP	tcp_dPort	udp_dPort	ip_len	ip_proto	tcp_flags	tcp_seq	tcp_ack	tls_hostname	dns_hostname	dns_ip
1651792536.748405000	192.168.1.138			190.98.158.1			84	1						
1651792536.932103000	190.98.158.1			192.168.1.138			84	1						
1651792536.999505000	192.168.1.138			190.98.158.1			84	1						
1651792537.098148000	192.168.1.138		38911	128.111.1.1		53	72	17					<Root>	
1651792537.100018000	128.111.1.1		53	192.168.1.138		38911	123	17					ucsb.edu,<Root>	
1651792537.100137000	192.168.1.138		38911	128.111.1.1		53	61	17						
1651792537.101463000	128.111.1.1		53	192.168.1.138		38911	112	17					ucsb.edu	
1651792537.102078000	192.168.1.138		59566	192.168.1.1		53	67	17					<Root>	
1651792537.102306000	192.168.1.1		53	192.168.1.138		59566	83	17					ubuntu.lan,<Root>	192.168.1.220
1651792537.125178000														
1651792537.183561000	190.98.158.1			192.168.1.138			84	1						
1651792537.185087000														
1651792537.248945000	192.168.1.138			190.98.158.1			84	1						
1651792537.350142000	128.111.52.93	4505		192.168.1.138	47230		533	6	0x0018	245684348	1379606271			
1651792537.350205000	192.168.1.138	47230		128.111.52.93	4505		52	6	0x0010	1379606271	245684829			
1651792537.432711000	190.98.158.1			192.168.1.138			84	1						
1651792537.499125000	192.168.1.138			190.98.158.1			84	1						
1651792537.659379000	192.168.1.138	44856		128.111.52.93	4506		60	6	0x0002	2284701049	0			
1651792537.659839000	128.111.52.93	4506		192.168.1.138	44856		60	6	0x0012	2644084556	2284701050			
1651792537.659929000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701050	2644084557			
1651792537.660164000	192.168.1.138	44856		128.111.52.93	4506		62	6	0x0018	2284701050	2644084557			
1651792537.660424000	128.111.52.93	4506		192.168.1.138	44856		62	6	0x0018	2644084557	2284701050			
1651792537.660482000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701060	2644084567			
1651792537.660513000	128.111.52.93	4506		192.168.1.138	44856		52	6	0x0010	2644084567	2284701060			
1651792537.660546000	192.168.1.138	44856		128.111.52.93	4506		53	6	0x0018	2284701060	2644084567			
1651792537.660573000	128.111.52.93	4506		192.168.1.138	44856		53	6	0x0018	2644084567	2284701060			
1651792537.660582000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701061	2644084568			
1651792537.660642000	192.168.1.138	44856		128.111.52.93	4506		105	6	0x0018	2284701061	2644084568			
1651792537.660831000	128.111.52.93	4506		192.168.1.138	44856		52	6	0x0010	2644084568	2284701061			
1651792537.660867000	128.111.52.93	4506		192.168.1.138	44856		105	6	0x0018	2644084568	2284701061			
1651792537.660884000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701114	2644084621			
1651792537.660975000	128.111.52.93	4506		192.168.1.138	44856		52	6	0x0010	2644084621	2284701114			
1651792537.660996000	128.111.52.93	4506		192.168.1.138	44856		95	6	0x0018	2644084621	2284701114			
1651792537.661005000	192.168.1.138	44856		128.111.52.93	4506		92	6	0x0018	2284701114	2644084621			
1651792537.661018000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701154	2644084664			
1651792537.661357000	128.111.52.93	4506		192.168.1.138	44856		52	6	0x0010	2644084664	2284701154			
1651792537.665593000	192.168.1.138	44856		128.111.52.93	4506		624	6	0x0018	2284701154	2644084664			
1651792537.666001000	128.111.52.93	4506		192.168.1.138	44856		52	6	0x0010	2644084664	2284701726			
1651792537.669251000	128.111.52.93	4506		192.168.1.138	44856		123	6	0x0018	2644084664	2284701726			
1651792537.669295000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701726	2644084735			
1651792537.672307000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0011	2284701726	2644084735			
1651792537.672719000	128.111.52.93	4506		192.168.1.138	44856		52	6	0x0011	2644084735	2284701727			
1651792537.672781000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701727	2644084736			
1651792537.682879000	190.98.158.1			192.168.1.138			84	1						
1651792537.750208000	192.168.1.138			190.98.158.1			84	1						
1651792537.934101000	190.98.158.1			192.168.1.138			84	1						
1651792537.947088000	192.168.1.138			196.24.45.129			84	1						
1651792538.178804000	196.24.45.129			192.168.1.138			84	1						
1651792538.197183000	192.168.1.138			196.24.45.129			84	1						
1651792538.209564000														
1651792538.428964000	196.24.45.129			192.168.1.138			84	1						
1651792538.447286000	192.168.1.138			196.24.45.129			84	1						
1651792538.678801000	196.24.45.129			192.168.1.138			84	1						
1651792538.698154000	192.168.1.138			196.24.45.129			84	1						
1651792538.766097000														
1651792538.847441000														
1651792538.931169000	196.24.45.129			192.168.1.138			84	1						
1651792538.948537000	192.168.1.138			196.24.45.129			84	1						
1651792539.103412000														
1651792539.141771000	128.111.52.93	4505		192.168.1.138	47230		549	6	0x0018	245684829	1379606271			
1651792539.141843000	192.168.1.138	47230		128.111.52.93	4505		52	6	0x0010	1379606271	245685326			
1651792539.180202000	196.24.45.129			192.168.1.138			84	1						
1651792539.198519000	192.168.1.138			196.24.45.129			84	1						
1651792539.230213000														
1651792539.430115000	196.24.45.129			192.168.1.138			84	1						
1651792539.449497000	192.168.1.138			196.24.45.129			84	1						
1651792539.463507000	192.168.1.138	44858		128.111.52.93	4506		60	6	0x0002	2920185797	0			
1651792539.463948000	128.111.52.93	4506		192.168.1.138	44858		60	6	0x0012	3416960513	2920185798			
1651792539.464036000	192.168.1.138	44858		128.111.52.93	4506		52	6	0x0010	2920185798	3416960514			
1651792539.464363000	192.168.1.138	44858		128.111.52.93	4506		62	6	0x0018	2920185798	3416960514			
1651792539.464513000	128.111.52.93	4506		192.168.1.138	44858		62	6	0x0018	3416960514	2920185798			
1651792539.464573000	192.168.1.138	44858		128.111.52.93	4506		52	6	0x0010	2920185808	3416960524			
1651792539.464696000	192.168.1.138	44858		128.111.52.93	4506		53	6	0x0018	2920185808	3416960524			
1651792539.464732000	128.111.52.93	4506		192.168.1.138	44858		52	6	0x0010	3416960524	2920185808			
1651792539.464733000	128.111.52.93	4506		192.168.1.138	44858		53	6	0x0018	3416960524	2920185808			
1651792539.464783000	192.168.1.138	44858		128.111.52.93	4506		52	6	0x0010	2920185809	3416960525			
1651792539.464854000	192.168.1.138	44858		128.111.52.93	4506		105	6	0x0018	2920185809	3416960525			
1651792539.465041000	128.111.52.93	4506		192.168.1.138	44858		52	6	0x0010	3416960525	2920185809			
1651792539.465076000	128.111.52.93	4506		192.168.1.138	44858		105	6	0x0018	3416960525	2920185809			
1651792539.465093000	192.168.1.138	44858		128.111.52.93	4506		52	6	0x0010	2920185862	3416960578			
1651792539.465187000	128.111.52.93	4506		192.168.1.138	44858		52	6	0x0010	3416960578	2920185862			
1651792539.465211000	128.111.52.93	4506		192.168.1.138	44858		95	6	0x0018	3416960578	2920185862			
1651792539.465223000	192.168.1.138	44858		128.111.52.93	4506		52	6	0x0010	2920185862	3416960621			
1651792539.465399000	192.168.1.138	44858		128.111.52.93	4506		92	6	0x0018	2920185862	3416960621			
1651792539.465746000	128.111.52.93	4506		192.168.1.138	44858		52	6	0x0010	3416960621	2920185902			
1651792539.468824000	192.168.1.138	44858		128.111.52.93	4506		464	6	0x0018	2920185902	3416960621			
1651792539.469226000	128.111.52.93	4506		192.168.1.138	44858		52	6	0x0010	3416960621	2920186314			
1651792539.472070000	128.111.52.93	4506		192.168.1.138	44858		123	6	0x0018	3416960621	2920186314			
1651792539.472117000	192.168.1.138	44858		128.111.52.93	4506		52	6	0x0010	2920186314	3416960692			
1651792539.474966000	192.168.1.138	44858		128.111.52.93	4506		52	6	0x0011	2920186314	3416960692			
1651792539.475373000	128.111.52.93	4506		192.168.1.138	44858		52	6	0x0011	3416960692	2920186315			
1651792539.475435000	192.168.1.138	44858		128.111.52.93	4506		52	6	0x0010	2920186315	3416960693			
1651792539.681002000	196.24.45.129			192.168.1.138			84	1						
1651792539.700367000	192.168.1.138			196.24.45.129			84	1						
1651792539.701424000	192.168.1.138		47807	192.168.1.1		53	86	17					<Root>	
1651792539.701658000	192.168.1.138		38119	128.111.1.1		53	86	17					<Root>	
1651792539.702369000	192.168.1.138		34899	192.168.1.1		53	86	17					<Root>	
1651792539.702562000	192.168.1.138		46616	128.111.1.1		53	86	17					<Root>	
1651792539.703555000	128.111.1.1		53	192.168.1.138		38119	234	17					location.services.mozilla.com,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,<Root>	35.160.240.234,35.161.134.161,35.82.180.24,52.42.213.44,34.218.94.83,54.148.72.145
1651792539.703700000	192.168.1.1		53	192.168.1.138		47807	234	17					location.services.mozilla.com,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,<Root>	54.148.72.145,52.42.213.44,34.218.94.83,35.82.180.24,35.161.134.161,35.160.240.234
1651792539.704269000	128.111.1.1		53	192.168.1.138		46616	220	17					location.services.mozilla.com,prod.mozaws.net,<Root>	
1651792539.704474000	192.168.1.1		53	192.168.1.138		34899	220	17					location.services.mozilla.com,prod.mozaws.net,<Root>	
1651792539.704893000	192.168.1.138		54874	192.168.1.1		53	95	17					<Root>	
1651792539.705116000	192.168.1.1		53	192.168.1.138		54874	191	17					locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,<Root>	35.160.240.234,35.161.134.161,35.82.180.24,34.218.94.83,52.42.213.44,54.148.72.145
1651792539.705164000	192.168.1.138,192.168.1.1		53	192.168.1.1,192.168.1.138		54874	219,191	1,17					locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,locprod2-elb-us-west-2.prod.mozaws.net,<Root>	35.160.240.234,35.161.134.161,35.82.180.24,34.218.94.83,52.42.213.44,54.148.72.145
1651792539.705930000	192.168.1.138		38542	192.168.1.1		53	95	17					<Root>	
1651792539.706124000	192.168.1.138		59159	128.111.1.1		53	95	17					<Root>	
1651792539.706148000	192.168.1.1		53	192.168.1.138		38542	95	17					<Root>	
1651792539.707497000	192.168.1.138	52446		54.148.72.145	443		60	6	0x0002	4250594358	0			
1651792539.707836000	128.111.1.1		53	192.168.1.138		59159	180	17					prod.mozaws.net,<Root>	
1651792539.707890000	192.168.1.138,128.111.1.1		53	128.111.1.1,192.168.1.138		59159	208,180	1,17					prod.mozaws.net,<Root>	
1651792539.736397000	54.148.72.145	443		192.168.1.138	52446		60	6	0x0012	769467350	4250594359			
1651792539.736491000	192.168.1.138	52446		54.148.72.145	443		52	6	0x0010	4250594359	769467351			
1651792539.742496000	192.168.1.138	52446		54.148.72.145	443		569	6	0x0018	4250594359	769467351	location.services.mozilla.com		
1651792539.771762000	54.148.72.145	443		192.168.1.138	52446		52	6	0x0010	769467351	4250594876			
1651792539.773397000	54.148.72.145	443		192.168.1.138	52446		1500	6	0x0010	769467351	4250594876			
1651792539.773451000	192.168.1.138	52446		54.148.72.145	443		52	6	0x0010	4250594876	769468799			
1651792539.773536000	54.148.72.145	443		192.168.1.138	52446		2048	6	0x0018	769468799	4250594876			
1651792539.773567000	192.168.1.138	52446		54.148.72.145	443		52	6	0x0010	4250594876	769470795			
1651792539.789523000	192.168.1.138	52446		54.148.72.145	443		178	6	0x0018	4250594876	769470795			
1651792539.818844000	54.148.72.145	443		192.168.1.138	52446		103	6	0x0018	769470795	4250595002			
1651792539.818915000	192.168.1.138	52446		54.148.72.145	443		52	6	0x0010	4250595002	769470846			
1651792539.823537000	192.168.1.138		39973	128.111.1.1		53	74	17					<Root>	
1651792539.824096000	192.168.1.138		33059	128.111.1.1		53	75	17					<Root>	
1651792539.824828000	192.168.1.138		34826	128.111.1.1		53	74	17					<Root>	
1651792539.825198000	128.111.1.1		53	192.168.1.138		39973	122	17					ocsp.digicert.com,cs9.wac.phicdn.net,<Root>	72.21.91.29
1651792539.825270000	192.168.1.138,128.111.1.1		53	128.111.1.1,192.168.1.138		39973	150,122	1,17					ocsp.digicert.com,cs9.wac.phicdn.net,<Root>	72.21.91.29
1651792539.825490000	192.168.1.138		39785	192.168.1.1		53	75	17					<Root>	
1651792539.825622000	192.168.1.138		53427	128.111.1.1		53	75	17					<Root>	
1651792539.825984000	128.111.1.1		53	192.168.1.138		33059	91	17					cs9.wac.phicdn.net,<Root>	72.21.91.29
1651792539.826066000	192.168.1.138,128.111.1.1		53	128.111.1.1,192.168.1.138		33059	119,91	1,17					cs9.wac.phicdn.net,<Root>	72.21.91.29
1651792539.826661000	128.111.1.1		53	192.168.1.138		34826	171	17					ocsp.digicert.com,wac.phicdn.net,<Root>	
1651792539.826724000	192.168.1.138,128.111.1.1		53	128.111.1.1,192.168.1.138		34826	199,171	1,17					ocsp.digicert.com,wac.phicdn.net,<Root>	
1651792539.827268000	128.111.1.1		53	192.168.1.138		53427	143	17					wac.phicdn.net,<Root>	
1651792539.827422000	192.168.1.1		53	192.168.1.138		39785	143	17					wac.phicdn.net,<Root>	
1651792539.844557000	192.168.1.138	54886		72.21.91.29	80		60	6	0x0002	3132621934	0			
1651792539.847697000	72.21.91.29	80		192.168.1.138	54886		60	6	0x0012	3021283422	3132621935			
1651792539.847804000	192.168.1.138	54886		72.21.91.29	80		52	6	0x0010	3132621935	3021283423			
1651792539.848234000	192.168.1.138	54886		72.21.91.29	80		475	6	0x0018	3132621935	3021283423			
1651792539.852576000	72.21.91.29	80		192.168.1.138	54886		52	6	0x0010	3021283423	3132622358			
1651792539.852939000														
1651792539.853814000	72.21.91.29	80		192.168.1.138	54886		791	6	0x0018	3021283423	3132622358			
1651792539.853864000	192.168.1.138	54886		72.21.91.29	80		52	6	0x0010	3132622358	3021284162			
1651792539.931781000	196.24.45.129			192.168.1.138			84	1						
1651792539.951133000	192.168.1.138			196.24.45.129			84	1						
1651792539.998177000														
1651792540.182571000	196.24.45.129			192.168.1.138			84	1						
1651792540.200919000	192.168.1.138			196.24.45.129			84	1						
1651792540.432620000	196.24.45.129			192.168.1.138			84	1						
1651792540.449188000	192.168.1.138			197.136.0.65			84	1						
1651792540.481321000	192.168.1.138	52446		54.148.72.145	443		471	6	0x0018	4250595002	769470846			
1651792540.513572000	54.148.72.145	443		192.168.1.138	52446		619	6	0x0018	769470846	4250595421			
1651792540.513651000	192.168.1.138	52446		54.148.72.145	443		52	6	0x0010	4250595421	769471413			
1651792540.603360000														
1651792540.702217000	192.168.1.138			197.136.0.65			84	1						
1651792540.709191000														
1651792540.729272000	197.136.0.65			192.168.1.138			84	1						
1651792540.800675000	192.168.1.138		45512	192.168.1.1		53	81	17					<Root>	
1651792540.800825000	192.168.1.138		53425	128.111.1.1		53	81	17					<Root>	
1651792540.801219000	192.168.1.138		54377	192.168.1.1		53	81	17					<Root>	
1651792540.801321000	192.168.1.138		52904	128.111.1.1		53	81	17					<Root>	
1651792540.802518000	128.111.1.1		53	192.168.1.138		53425	192	17					detectportal.firefox.com,detectportal.prod.mozaws.net,prod.detectportal.prod.cloudops.mozgcp.net,<Root>	34.107.221.82
1651792540.802818000	192.168.1.1		53	192.168.1.138		45512	192	17					detectportal.firefox.com,detectportal.prod.mozaws.net,prod.detectportal.prod.cloudops.mozgcp.net,<Root>	34.107.221.82
1651792540.802873000	192.168.1.138,192.168.1.1		53	192.168.1.1,192.168.1.138		45512	220,192	1,17					detectportal.firefox.com,detectportal.prod.mozaws.net,prod.detectportal.prod.cloudops.mozgcp.net,<Root>	34.107.221.82
1651792540.803004000	192.168.1.1		53	192.168.1.138		54377	204	17					detectportal.firefox.com,detectportal.prod.mozaws.net,prod.detectportal.prod.cloudops.mozgcp.net,<Root>	
1651792540.803198000	192.168.1.138		51309	192.168.1.1		53	85	17					<Root>	
1651792540.803249000	128.111.1.1		53	192.168.1.138		52904	204	17					detectportal.firefox.com,detectportal.prod.mozaws.net,prod.detectportal.prod.cloudops.mozgcp.net,<Root>	
1651792540.803315000	192.168.1.1		53	192.168.1.138		51309	157	17					detectportal.prod.mozaws.net,prod.detectportal.prod.cloudops.mozgcp.net,<Root>	34.107.221.82
1651792540.803332000	192.168.1.138,192.168.1.1		53	192.168.1.1,192.168.1.138		51309	185,157	1,17					detectportal.prod.mozaws.net,prod.detectportal.prod.cloudops.mozgcp.net,<Root>	34.107.221.82
1651792540.804434000	192.168.1.138		60124	128.111.1.1		53	99	17					<Root>	
1651792540.805292000	192.168.1.138	44354		34.107.221.82	80		60	6	0x0002	3649892110	0			
1651792540.806098000	128.111.1.1		53	192.168.1.138		60124	127	17					prod.detectportal.prod.cloudops.mozgcp.net,<Root>	
1651792540.806159000	192.168.1.138,128.111.1.1		53	128.111.1.1,192.168.1.138		60124	155,127	1,17					prod.detectportal.prod.cloudops.mozgcp.net,<Root>	
1651792540.808430000	34.107.221.82	80		192.168.1.138	44354		60	6	0x0012	3522056969	3649892111			
1651792540.808520000	192.168.1.138	44354		34.107.221.82	80		52	6	0x0010	3649892111	3522056970			
1651792540.808847000	192.168.1.138	44354		34.107.221.82	80		352	6	0x0018	3649892111	3522056970			
1651792540.812797000	34.107.221.82	80		192.168.1.138	44354		52	6	0x0010	3522056970	3649892411			
1651792540.814515000	34.107.221.82	80		192.168.1.138	44354		354	6	0x0018	3522056970	3649892411			
1651792540.814553000	192.168.1.138	44354		34.107.221.82	80		52	6	0x0010	3649892411	3522057272			
1651792540.876945000														
1651792540.952965000	192.168.1.138			197.136.0.65			84	1						
1651792540.966817000	192.168.1.138		33325	128.111.1.1		53	68	17					<Root>	
1651792540.968035000	192.168.1.138	44356		34.107.221.82	80		60	6	0x0002	1137931452	0			
1651792540.968115000	192.168.1.138		46995	128.111.1.1		53	68	17					<Root>	
1651792540.968464000	128.111.1.1		53	192.168.1.138		33325	84	17					example.org,<Root>	93.184.216.34
1651792540.968541000	192.168.1.138,128.111.1.1		53	128.111.1.1,192.168.1.138		33325	112,84	1,17					example.org,<Root>	93.184.216.34
1651792540.969350000	192.168.1.138		59595	128.111.1.1		53	70	17					<Root>	
1651792540.969951000	128.111.1.1		53	192.168.1.138		46995	84	17					example.org,<Root>	93.184.216.34
1651792540.970151000	192.168.1.138,128.111.1.1		53	128.111.1.1,192.168.1.138		46995	112,84	1,17					example.org,<Root>	93.184.216.34
1651792540.971329000	34.107.221.82	80		192.168.1.138	44356		60	6	0x0012	2353140767	1137931453			
1651792540.971332000	128.111.1.1		53	192.168.1.138		59595	102	17					ipv4only.arpa,ipv4only.arpa,<Root>	192.0.0.170,192.0.0.171
1651792540.971478000	192.168.1.138	44356		34.107.221.82	80		52	6	0x0010	1137931453	2353140768			
1651792540.972913000	192.168.1.138		37240	192.168.1.1		53	70	17					<Root>	
1651792540.973843000	192.168.1.138		36400	128.111.1.1		53	70	17					<Root>	
1651792540.974994000	192.168.1.1		53	192.168.1.138		37240	127	17					ipv4only.arpa,<Root>	
1651792540.975633000	128.111.1.1		53	192.168.1.138		36400	127	17					ipv4only.arpa,<Root>	
1651792540.978193000	192.168.1.138	44356		34.107.221.82	80		354	6	0x0018	1137931453	2353140768			
1651792540.979560000	192.168.1.138		46434	128.111.1.1		53	99	17					<Root>	
1651792540.980990000	192.168.1.138		35944	128.111.1.1		53	68	17					<Root>	
1651792540.981503000	128.111.1.1		53	192.168.1.138		46434	127	17					prod.detectportal.prod.cloudops.mozgcp.net,<Root>	
1651792540.981732000	192.168.1.138		40749	128.111.1.1		53	70	17					<Root>	
1651792540.982175000	197.136.0.65			192.168.1.138			84	1						
1651792540.982304000	34.107.221.82	80		192.168.1.138	44356		52	6	0x0010	2353140768	1137931755			
1651792540.982635000	192.168.1.138		45200	192.168.1.1		53	70	17					<Root>	
1651792540.982780000	128.111.1.1		53	192.168.1.138		35944	96	17					example.org,<Root>	
1651792540.982836000	192.168.1.1		53	192.168.1.138		45200	70	17					<Root>	
1651792540.982867000	192.168.1.138		39082	128.111.1.1		53	70	17					<Root>	
1651792540.983316000	128.111.1.1		53	192.168.1.138		40749	102	17					ipv4only.arpa,ipv4only.arpa,<Root>	192.0.0.170,192.0.0.171
1651792540.983736000	34.107.221.82	80		192.168.1.138	44356		272	6	0x0018	2353140768	1137931755			
1651792540.983786000	192.168.1.138	44356		34.107.221.82	80		52	6	0x0010	1137931755	2353140988			
1651792540.984629000	128.111.1.1		53	192.168.1.138		39082	127	17					ipv4only.arpa,<Root>	
1651792540.986659000	192.168.1.138		51445	128.111.1.1		53	99	17					<Root>	
1651792540.988324000	128.111.1.1		53	192.168.1.138		51445	127	17					prod.detectportal.prod.cloudops.mozgcp.net,<Root>	
1651792541.079702000														
1651792541.203696000	192.168.1.138			197.136.0.65			84	1						
1651792541.232958000	197.136.0.65			192.168.1.138			84	1						
